Period,Rainfall(mm),Mean Max Temperature (°C),Mean Min Temperature (°C),Morning Humidity (%),Evening Humidity (%),GWL (In mbgl)
Pre Monsoon,297,36.5,21.9,76,62.7,0 to 2
Pre Monsoon,319,37.2,23,66.3,58.7,5 to 10
Pre Monsoon,218.7,36.3,22.1,69,62.3,5 to 10
Pre Monsoon,257,36.3,20.9,68.3,60.3,5 to 10
Pre Monsoon,229,35.2,24.1,73.7,62.3,10 to 20
Pre Monsoon,339,32.8,24.7,71,68.3,10 to 20
Pre Monsoon,229,33.2,25,77.3,69,10 to 20
Pre Monsoon,339,31.8,25.3,76.3,61.3,10 to 20
Pre Monsoon,437,34.9,24.6,69,59.3,10 to 20
Pre Monsoon,437,33.5,24.3,71,59,10 to 20
Pre Monsoon,297,36.4,23.5,72.3,58,5 to 10
Pre Monsoon,307,36.3,24.2,65.3,48.3,10 to 20
Pre Monsoon,337,38.2,23.2,62.3,45.7,5 to 10
Pre Monsoon,229,31.6,25.2,81,46.3,10 to 20
Pre Monsoon,243,36.5,23.8,80.7,70,5 to 10
Pre Monsoon,243,36.7,21.7,55,39.7,5 to 10
Pre Monsoon,258,35.2,23.1,79,66,0 to 2
Pre Monsoon,410,18.8,11,74.7,73,2 to 5
Pre Monsoon,410,33.1,20.9,68.7,61.7,2 to 5
Pre Monsoon,379,33.1,21.1,73.7,60.7,2 to 5
Pre Monsoon,389,32.6,21.7,70,59,2 to 5
Pre Monsoon,393,36,23.1,61.3,49,5 to 10
Post Monsoon,1558,28.4,14.9,78.3,69.7,5 to 10
Post Monsoon,1825,27.9,15.9,70,65.3,0 to 2
Post Monsoon,1674,29.4,16.9,72.3,66,2 to 5
Post Monsoon,1075,29,16.7,75.3,67,2 to 5
Post Monsoon,2471,28.4,16.5,75.7,71,5 to 10
Post Monsoon,2319,28.3,16.7,71.7,65.3,10 to 20
Post Monsoon,2471,28.5,16.4,79.3,71.3,5 to 10
Post Monsoon,2319,28.4,17.4,77.3,65.3,10 to 20
Post Monsoon,2013,28.7,17.7,74.7,70,10 to 20
Post Monsoon,2013,28.4,17.4,73.7,69,10 to 20
Post Monsoon,1191,28.9,16.4,71,60,2 to 5
Post Monsoon,2052,28.3,16.5,65.3,56.3,2 to 5
Post Monsoon,1600,29.6,15.5,72,61.7,0 to 2
Post Monsoon,2471,27.7,17.4,79.3,73.7,5 to 10
Post Monsoon,1278,27.7,16.2,72.7,66.3,2 to 5
Post Monsoon,1278,27.2,14.8,62.3,46.3,2 to 5
Post Monsoon,1984,28.6,16,82.3,70.7,0 to 2
Post Monsoon,2961,18.3,8.2,76.3,75,2 to 5
Post Monsoon,2961,29.1,14.9,77.3,75,2 to 5
Post Monsoon,2662,28.2,15.4,78,71,0 to 2
Post Monsoon,2936,28.3,16.3,80,72.3,2 to 5
Post Monsoon,951,29.7,17.7,69,64.7,2 to 5
